x,y,z
2.804674,4.513484,14.284181
3.181620,5.249953,13.826558
3.635350,6.113407,13.485243
4.176670,7.121863,13.287868
4.817506,8.290904,13.272285
5.569926,9.629690,13.489022
6.444378,11.134416,14.003165
7.446762,12.778376,14.894184
8.573876,14.498392,16.251026
9.806992,16.179102,18.158390
11.103921,17.640480,20.669638
12.391394,18.639802,23.764699
13.561787,18.904008,27.301036
14.480169,18.203627,30.982483
15.006630,16.455399,34.383420
15.032124,13.803190,37.051008
14.515077,10.611523,38.654974
13.499776,7.351332,39.100917
12.104962,4.438930,38.534989
10.488649,2.123393,37.247531
8.807678,0.468958,35.549454
7.188692,-0.592393,33.688711
5.716292,-1.190394,31.824406
4.434841,-1.463008,30.039317
3.357247,-1.528375,28.365440
2.475310,-1.475948,26.807057
1.768714,-1.367926,25.356289
1.211691,-1.244623,24.001726
0.777414,-1.130398,22.732382
0.440591,-1.038774,21.539051
0.178754,-0.976406,20.414440
-0.027284,-0.945953,19.352862
-0.193504,-0.948066,18.349845
-0.333027,-0.982727,17.401816
-0.456601,-1.050110,16.505874
-0.573120,-1.151144,15.659673
-0.690136,-1.287875,14.861373
-0.814328,-1.463733,14.109677
-0.951932,-1.683751,13.403919
-1.109135,-1.954780,12.744246
-1.292432,-2.285734,12.131885
-1.508971,-2.687862,11.569554
-1.766886,-3.175041,11.062067
-2.075621,-3.764067,10.617198
-2.446242,-4.474844,10.246940
-2.891707,-5.330336,9.969275
-3.427037,-6.355999,9.810633
-4.069264,-7.578200,9.809184
-4.836953,-9.020831,10.018980
-5.748925,-10.698866,10.514598
-6.821636,-12.607131,11.395070
-8.064384,-14.702426,12.784160
-9.471451,-16.878253,14.821236
-11.010610,-18.935704,17.633629
-12.609017,-20.563819,21.280633
-14.141076,-21.357154,25.668779
-15.428016,-20.905720,30.466683
-16.261791,-18.965752,35.088949
-16.458448,-15.642036,38.825668
-15.924712,-11.439129,41.105888
-14.701064,-7.090304,41.739477
-12.951245,-3.258093,40.956682
-10.904182,-0.315830,39.232799
-8.784658,1.677540,37.055593
-6.766242,2.867444,34.782273
-4.956026,3.473813,32.612636
-3.401912,3.706280,30.627306
-2.109083,3.729456,28.838487
-1.056598,3.658947,27.228300
-0.210295,3.570065,25.770836
0.468568,3.509087,24.442286
1.018163,3.503059,23.224329
1.473444,3.567185,22.104415
1.865096,3.710027,21.075003
2.219457,3.936982,20.132695
2.558953,4.252515,19.277662
2.902778,4.661474,18.513449
3.267613,5.169721,17.847152
3.668283,5.784188,17.289945
4.118246,6.512373,16.857894
4.629849,7.361174,16.573003
5.214242,8.334858,16.464341
5.880842,9.431880,16.568960
6.636182,10.640225,16.932041
7.481966,11.931095,17.605306
8.412202,13.251252,18.642202
9.409433,14.515409,20.088018
10.440512,15.601904,21.963372
11.453089,16.357152,24.241526
12.374883,16.615413,26.824511
13.118437,16.237307,29.529499
13.593346,15.160608,32.100830
13.725091,13.442754,34.257109
13.475203,11.267826,35.763525
12.854400,8.904095,36.497838
11.922054,6.628053,36.475506
10.771808,4.652755,35.823346
9.509865,3.092008,34.722183
8.234694,1.965579,33.350841
7.023957,1.228917,31.852232
5.929845,0.806975,30.323690
4.980723,0.619833,28.822824
4.186089,0.597244,27.379037
3.542385,0.684342,26.004509
